city,date,price
Bakersfield,2019-02,242400
Bakersfield,2019-03,247200
Bakersfield,2019-04,246100
Bakersfield,2019-05,249100
Bakersfield,2019-06,249500
Bakersfield,2019-07,249200
Bakersfield,2019-08,248100
Bakersfield,2019-09,249200
Bakersfield,2019-10,254900
Bakersfield,2019-11,261000
Bakersfield,2019-12,265000
Anaheim,2014-01,439700
Anaheim,2014-02,443500
Anaheim,2014-03,436000
Anaheim,2014-04,433900
Anaheim,2014-05,432500
Anaheim,2014-06,440100
Anaheim,2014-07,443200
Anaheim,2014-08,450700
Anaheim,2014-09,458400
Anaheim,2014-10,463100
Anaheim,2014-11,461600
Anaheim,2014-12,458400
Anaheim,2015-01,461200
Anaheim,2015-02,459800
Anaheim,2015-03,466700
Anaheim,2015-04,465100
Anaheim,2015-05,468100
Anaheim,2015-06,463100
Anaheim,2015-07,470300
Anaheim,2015-08,476800
Anaheim,2015-09,482500
Anaheim,2015-10,485500
Anaheim,2015-11,490800
Anaheim,2015-12,497900
Anaheim,2016-01,506300
Anaheim,2016-02,513000
Anaheim,2016-03,510300
Anaheim,2016-04,504600
Anaheim,2016-05,506700
Anaheim,2016-06,513100
Anaheim,2016-07,514200
Anaheim,2016-08,511400
Anaheim,2016-09,507800
Anaheim,2016-10,508700
Anaheim,2016-11,506000
Anaheim,2016-12,515300
Anaheim,2017-01,511900
Anaheim,2017-02,511300
Anaheim,2017-03,518200
Anaheim,2017-04,529100
Anaheim,2017-05,535400
Anaheim,2017-06,532600
Anaheim,2017-07,532200
Anaheim,2017-08,532300
Anaheim,2017-09,538100
Anaheim,2017-10,546400
Anaheim,2017-11,559000
Anaheim,2017-12,557100
Anaheim,2018-01,559600
Anaheim,2018-02,562900
Anaheim,2018-03,573600
Anaheim,2018-04,577700
Anaheim,2018-05,577900
Anaheim,2018-06,579500
Anaheim,2018-07,583900
Anaheim,2018-08,585700
Anaheim,2018-09,583600
Anaheim,2018-10,581900
Anaheim,2018-11,579900
Anaheim,2018-12,573800
Anaheim,2019-01,575800
Anaheim,2019-02,583700
Anaheim,2019-03,588700
Anaheim,2019-04,583200
Anaheim,2019-05,577000
Anaheim,2019-06,584300
Anaheim,2019-07,592700
Anaheim,2019-08,591000
Anaheim,2019-09,588000
Anaheim,2019-10,595800
Anaheim,2019-11,606500
Anaheim,2019-12,616400
Santa Ana,2014-01,357500
Santa Ana,2014-02,370200
Santa Ana,2014-03,372800
Santa Ana,2014-04,364900
Santa Ana,2014-05,368900
Santa Ana,2014-06,374800
Santa Ana,2014-07,374400
Santa Ana,2014-08,375000
Santa Ana,2014-09,377800
Santa Ana,2014-10,384300
Santa Ana,2014-11,393700
Santa Ana,2014-12,404600
Santa Ana,2015-01,402900
Santa Ana,2015-02,399200
Santa Ana,2015-03,395100
Santa Ana,2015-04,404600
Santa Ana,2015-05,391800
Santa Ana,2015-06,396700
Santa Ana,2015-07,394900
Santa Ana,2015-08,400400
Santa Ana,2015-09,407900
Santa Ana,2015-10,412000
Santa Ana,2015-11,413000
Santa Ana,2015-12,405200
Santa Ana,2016-01,400300
Santa Ana,2016-02,406600
Santa Ana,2016-03,416200
Santa Ana,2016-04,422000
Santa Ana,2016-05,421600
Santa Ana,2016-06,422100
Santa Ana,2016-07,421700
Santa Ana,2016-08,486400
Santa Ana,2016-09,483900
Santa Ana,2016-10,486800
Santa Ana,2016-11,438400
Santa Ana,2016-12,437800
Santa Ana,2017-01,442400
Santa Ana,2017-02,427800
Santa Ana,2017-03,436400
Santa Ana,2017-04,444100
Santa Ana,2017-05,458700
Santa Ana,2017-06,459200
Santa Ana,2017-07,461500
Santa Ana,2017-08,455800
Santa Ana,2017-09,460700
Santa Ana,2017-10,463000
Santa Ana,2017-11,469400
Santa Ana,2017-12,480000
Santa Ana,2018-01,486100
Santa Ana,2018-02,493200
Santa Ana,2018-03,489300
Santa Ana,2018-04,488500
Santa Ana,2018-05,486400
Santa Ana,2018-06,487500
Santa Ana,2018-07,494500
Santa Ana,2018-08,514400
Santa Ana,2018-09,526800
Santa Ana,2018-10,526300
Santa Ana,2018-11,496900
Santa Ana,2018-12,497500
Santa Ana,2019-01,491800
Santa Ana,2019-02,499600
Santa Ana,2019-03,499000
Santa Ana,2019-04,512300
Santa Ana,2019-05,525500
Santa Ana,2019-06,523400
Santa Ana,2019-07,519000
Santa Ana,2019-08,522500
Santa Ana,2019-09,516200
Santa Ana,2019-10,523100
Santa Ana,2019-11,539300
Santa Ana,2019-12,562900
Stockton,2014-01,169800
Stockton,2014-02,173800
Stockton,2014-03,172100
Stockton,2014-04,180500
Stockton,2014-05,180200
Stockton,2014-06,184100
Stockton,2014-07,179700
Stockton,2014-08,182100
Stockton,2014-09,182900
Stockton,2014-10,185500
Stockton,2014-11,186500
Stockton,2014-12,189500
Stockton,2015-01,189800
Stockton,2015-02,196800
Stockton,2015-03,199700
Stockton,2015-04,205300
Stockton,2015-05,205800
Stockton,2015-06,209000
Stockton,2015-07,208600
Stockton,2015-08,209900
Stockton,2015-09,210800
Stockton,2015-10,213600
Stockton,2015-11,212900
Stockton,2015-12,214800
Stockton,2016-01,220200
Stockton,2016-02,223400
Stockton,2016-03,223000
Stockton,2016-04,220200
Stockton,2016-05,222800
Stockton,2016-06,227000
Stockton,2016-07,231200
Stockton,2016-08,233000
Stockton,2016-09,239000
Stockton,2016-10,243900
Stockton,2016-11,246500
Stockton,2016-12,241600
Stockton,2017-01,242300
Stockton,2017-02,242300
Stockton,2017-03,247300
Stockton,2017-04,249300
Stockton,2017-05,252500
Stockton,2017-06,253000
Stockton,2017-07,255000
Stockton,2017-08,257400
Stockton,2017-09,261800
Stockton,2017-10,262100
Stockton,2017-11,270000
Stockton,2017-12,271000
Stockton,2018-01,274100
Stockton,2018-02,271000
Stockton,2018-03,277200
Stockton,2018-04,276700
Stockton,2018-05,278100
Stockton,2018-06,274200
Stockton,2018-07,279300
Stockton,2018-08,282900
Stockton,2018-09,285600
Stockton,2018-10,284100
Stockton,2018-11,283900
Stockton,2018-12,282700
Stockton,2019-01,281900
Stockton,2019-02,275100
Stockton,2019-03,276300
Stockton,2019-04,280800
Stockton,2019-05,293700
Stockton,2019-06,302900
Stockton,2019-07,306600
Stockton,2019-08,306100
