framework,date,downloads
angular,2019-10-08,447502
angular,2019-10-15,445461
angular,2019-10-22,462234
angular,2019-10-29,456425
angular,2019-11-05,440409
angular,2019-11-12,442106
angular,2019-11-19,443303
angular,2019-11-26,481026
angular,2019-12-03,386522
angular,2019-12-10,445776
angular,2019-12-17,441336
angular,2019-12-24,389559
angular,2019-12-31,178007
angular,2020-01-07,246798
backbone,2016-01-12,113133
backbone,2016-01-19,120558
backbone,2016-01-26,115217
backbone,2016-02-02,121372
backbone,2016-02-09,118576
backbone,2016-02-16,121379
backbone,2016-02-23,127674
backbone,2016-03-01,120721
backbone,2016-03-08,138601
backbone,2016-03-15,152356
backbone,2016-03-22,180725
backbone,2016-03-29,163752
backbone,2016-04-05,165097
backbone,2016-04-12,158643
backbone,2016-04-19,188973
backbone,2016-04-26,181566
backbone,2016-05-03,135428
backbone,2016-05-10,139787
backbone,2016-05-17,154472
backbone,2016-05-24,168528
backbone,2016-05-31,156648
backbone,2016-06-07,165277
backbone,2016-06-14,155395
backbone,2016-06-21,170740
backbone,2016-06-28,198698
backbone,2016-07-05,153278
backbone,2016-07-12,141578
backbone,2016-07-19,143126
backbone,2016-07-26,128334
backbone,2016-08-02,124228
backbone,2016-08-09,121314
backbone,2016-08-16,139839
backbone,2016-08-23,131767
backbone,2016-08-30,126481
backbone,2016-09-06,119322
backbone,2016-09-13,128644
backbone,2016-09-20,149219
backbone,2016-09-27,139724
backbone,2016-10-04,141982
backbone,2016-10-11,136326
backbone,2016-10-18,147760
backbone,2016-10-25,160829
backbone,2016-11-01,159567
backbone,2016-11-08,167044
backbone,2016-11-15,163572
backbone,2016-11-22,156048
backbone,2016-11-29,115851
backbone,2016-12-06,154980
backbone,2016-12-13,154617
backbone,2016-12-20,158618
backbone,2016-12-27,113001
backbone,2017-01-03,77561
backbone,2017-01-10,132238
backbone,2017-01-17,132519
backbone,2017-01-24,138975
backbone,2017-01-31,138432
backbone,2017-02-07,146279
backbone,2017-02-14,144567
backbone,2017-02-21,138611
backbone,2017-02-28,157670
backbone,2017-03-07,144815
backbone,2017-03-14,141190
backbone,2017-03-21,147134
backbone,2017-03-28,160992
backbone,2017-04-04,152284
backbone,2017-04-11,155203
backbone,2017-04-18,145947
backbone,2017-04-25,159072
backbone,2017-05-02,153363
backbone,2017-05-09,157201
backbone,2017-05-16,166201
backbone,2017-05-23,162795
backbone,2017-05-30,148390
backbone,2017-06-06,165875
backbone,2017-06-13,163199
backbone,2017-06-20,167563
backbone,2017-06-27,174265
backbone,2017-07-04,158840
backbone,2017-07-11,149982
backbone,2017-07-18,167209
backbone,2017-07-25,168535
backbone,2017-08-01,164295
backbone,2017-08-08,163028
backbone,2017-08-15,167830
backbone,2017-08-22,172323
backbone,2017-08-29,185924
backbone,2017-09-05,155305
backbone,2017-09-12,173932
backbone,2017-09-19,175811
backbone,2017-09-26,180681
backbone,2017-10-03,171007
backbone,2017-10-10,171494
backbone,2017-10-17,189443
backbone,2017-10-24,198804
backbone,2017-10-31,203097
backbone,2017-11-07,206252
backbone,2017-11-14,197195
backbone,2017-11-21,203792
backbone,2017-11-28,161783
backbone,2017-12-05,217282
backbone,2017-12-12,200605
backbone,2017-12-19,197266
backbone,2017-12-26,154632
backbone,2018-01-02,82158
backbone,2018-01-09,172871
backbone,2018-01-16,193342
backbone,2018-01-23,213294
backbone,2018-01-30,184764
backbone,2018-02-06,187136
backbone,2018-02-13,196602
backbone,2018-02-20,194736
backbone,2018-02-27,208330
backbone,2018-03-06,205644
backbone,2018-03-13,213645
backbone,2018-03-20,217249
backbone,2018-03-27,229308
backbone,2018-04-03,219479
backbone,2018-04-10,225179
backbone,2018-04-17,255354
backbone,2018-04-24,253202
backbone,2018-05-01,230496
backbone,2018-05-08,225063
backbone,2018-05-15,233514
backbone,2018-05-22,249386
backbone,2018-05-29,191517
backbone,2018-06-05,217587
backbone,2018-06-12,246261
backbone,2018-06-19,240188
backbone,2018-06-26,244829
backbone,2018-07-03,245325
backbone,2018-07-10,212535
backbone,2018-07-17,233299
backbone,2018-07-24,229496
backbone,2018-07-31,234126
backbone,2018-08-07,224501
backbone,2018-08-14,240291
backbone,2018-08-21,214252
backbone,2018-08-28,234183
backbone,2018-09-04,213287
backbone,2018-09-11,230676
backbone,2018-09-18,246614
backbone,2018-09-25,235231
backbone,2018-10-02,242595
backbone,2018-10-09,270757
backbone,2018-10-16,283762
backbone,2018-10-23,252613
backbone,2018-10-30,284677
backbone,2018-11-06,269228
backbone,2018-11-13,285796
